Date,Time,Menu Item,Category,Quantity,Price (per item),Revenue,Payment Method,Customer Type
17/08/2023,04:47 AM,Gelato,Dessert,3,4.5,13.5,Cash,Takeaway
07/05/2023,02:34 AM,Minestrone Soup,Appetizer,8,7,56,Credit Card,Dine-In
29/11/2023,06:27 PM,Margherita Pizza,Main Course,1,10,10,Credit Card,Dine-In
27/07/2023,04:34 PM,Minestrone Soup,Appetizer,6,7,42,Cash,Dine-In
25/03/2023,12:56 PM,Margherita Pizza,Main Course,10,10,100,Cash,Takeaway
26/05/2023,02:26 PM,Caprese Salad,Appetizer,3,8,24,Credit Card,Dine-In
31/05/2023,07:25 AM,Margherita Pizza,Main Course,1,10,10,Mobile Payment,Delivery
01/02/2023,10:42 AM,Margherita Pizza,Main Course,5,10,50,Mobile Payment,Takeaway
14/09/2023,06:07 PM,Spaghetti Carbonara,Main Course,7,12,84,Mobile Payment,Dine-In
05/04/2023,02:20 AM,Panna Cotta,Dessert,8,5.5,44,Mobile Payment,Dine-In
25/07/2023,04:05 AM,Panna Cotta,Dessert,8,5.5,44,Mobile Payment,Delivery
21/01/2023,09:08 PM,Tiramisu,Dessert,10,6.5,65,Mobile Payment,Delivery
16/10/2023,05:50 PM,Fettuccine Alfredo,Main Course,7,13,91,Credit Card,Delivery
09/06/2023,08:08 AM,Lasagna,Main Course,9,11.5,103.5,Credit Card,Delivery
26/11/2023,10:14 AM,Minestrone Soup,Appetizer,5,7,35,Credit Card,Dine-In
22/08/2023,09:12 PM,Panna Cotta,Dessert,7,5.5,38.5,Credit Card,Delivery
19/04/2023,05:16 PM,Lasagna,Main Course,1,11.5,11.5,Cash,Dine-In
05/05/2023,12:36 PM,Lasagna,Main Course,8,11.5,92,Cash,Delivery
26/12/2023,10:19 AM,Panna Cotta,Dessert,9,5.5,49.5,Credit Card,Delivery
10/10/2023,10:13 AM,Tiramisu,Dessert,1,6.5,6.5,Cash,Dine-In
24/02/2023,06:53 PM,Spaghetti Carbonara,Main Course,5,12,60,Cash,Delivery
17/04/2023,11:42 AM,Bruschetta,Appetizer,1,5,5,Mobile Payment,Takeaway
08/05/2023,01:44 AM,Tiramisu,Dessert,8,6.5,52,Cash,Dine-In
02/01/2023,11:23 AM,Spaghetti Carbonara,Main Course,3,12,36,Credit Card,Delivery
14/08/2023,06:49 PM,Gelato,Dessert,7,4.5,31.5,Credit Card,Dine-In
08/02/2023,11:35 PM,Spaghetti Carbonara,Main Course,3,12,36,Credit Card,Takeaway
25/10/2023,06:51 PM,Spaghetti Carbonara,Main Course,7,12,84,Credit Card,Dine-In
06/06/2023,12:26 PM,Margherita Pizza,Main Course,8,10,80,Credit Card,Delivery
07/05/2023,10:45 PM,Tiramisu,Dessert,7,6.5,45.5,Mobile Payment,Takeaway
13/11/2023,05:16 AM,Bruschetta,Appetizer,10,5,50,Credit Card,Takeaway
13/01/2023,06:07 AM,Fettuccine Alfredo,Main Course,2,13,26,Mobile Payment,Delivery
07/05/2023,09:06 AM,Spaghetti Carbonara,Main Course,1,12,12,Cash,Dine-In
28/08/2023,07:35 AM,Bruschetta,Appetizer,9,5,45,Cash,Takeaway
26/04/2023,07:36 AM,Margherita Pizza,Main Course,4,10,40,Cash,Takeaway
22/05/2023,02:22 AM,Lasagna,Main Course,3,11.5,34.5,Mobile Payment,Delivery
23/07/2023,11:11 PM,Caprese Salad,Appetizer,8,8,64,Credit Card,Dine-In
13/05/2023,06:05 AM,Panna Cotta,Dessert,7,5.5,38.5,Credit Card,Dine-In
01/11/2023,02:49 PM,Fettuccine Alfredo,Main Course,8,13,104,Cash,Delivery
18/09/2023,03:56 AM,Gelato,Dessert,7,4.5,31.5,Credit Card,Takeaway
23/01/2023,02:53 PM,Margherita Pizza,Main Course,4,10,40,Mobile Payment,Delivery
09/12/2023,06:43 AM,Fettuccine Alfredo,Main Course,7,13,91,Credit Card,Delivery
18/06/2023,09:16 PM,Fettuccine Alfredo,Main Course,7,13,91,Mobile Payment,Takeaway
16/09/2023,10:33 AM,Gelato,Dessert,9,4.5,40.5,Cash,Delivery
31/05/2023,06:55 PM,Spaghetti Carbonara,Main Course,10,12,120,Cash,Delivery
13/07/2023,11:07 PM,Spaghetti Carbonara,Main Course,7,12,84,Mobile Payment,Takeaway
26/07/2023,06:42 PM,Margherita Pizza,Main Course,8,10,80,Cash,Dine-In
08/08/2023,07:47 PM,Panna Cotta,Dessert,7,5.5,38.5,Cash,Takeaway
14/08/2023,11:03 PM,Bruschetta,Appetizer,10,5,50,Cash,Delivery
27/03/2023,10:29 PM,Tiramisu,Dessert,1,6.5,6.5,Mobile Payment,Delivery
20/11/2023,09:08 PM,Fettuccine Alfredo,Main Course,1,13,13,Credit Card,Delivery
07/06/2023,07:40 AM,Bruschetta,Appetizer,7,5,35,Credit Card,Dine-In
05/05/2023,04:13 PM,Panna Cotta,Dessert,7,5.5,38.5,Cash,Takeaway
18/11/2023,07:38 PM,Bruschetta,Appetizer,4,5,20,Cash,Takeaway
04/05/2023,05:02 AM,Margherita Pizza,Main Course,1,10,10,Cash,Dine-In
31/03/2023,11:45 PM,Caprese Salad,Appetizer,10,8,80,Credit Card,Delivery
07/05/2023,04:08 AM,Minestrone Soup,Appetizer,5,7,35,Cash,Delivery
28/09/2023,07:04 PM,Panna Cotta,Dessert,3,5.5,16.5,Cash,Delivery
15/09/2023,02:33 PM,Caprese Salad,Appetizer,8,8,64,Credit Card,Delivery
31/08/2023,03:21 PM,Lasagna,Main Course,10,11.5,115,Mobile Payment,Takeaway
23/09/2023,04:32 PM,Bruschetta,Appetizer,3,5,15,Cash,Dine-In
26/05/2023,08:00 AM,Lasagna,Main Course,8,11.5,92,Cash,Delivery
11/02/2023,04:43 AM,Spaghetti Carbonara,Main Course,7,12,84,Cash,Delivery
19/03/2023,07:18 AM,Tiramisu,Dessert,10,6.5,65,Cash,Takeaway
04/10/2023,03:54 PM,Gelato,Dessert,6,4.5,27,Credit Card,Takeaway
18/07/2023,07:56 PM,Margherita Pizza,Main Course,4,10,40,Cash,Takeaway
04/01/2023,12:00 PM,Lasagna,Main Course,1,11.5,11.5,Cash,Delivery
06/10/2023,08:35 PM,Bruschetta,Appetizer,3,5,15,Credit Card,Takeaway
11/08/2023,04:34 PM,Margherita Pizza,Main Course,4,10,40,Cash,Delivery
13/12/2023,01:48 PM,Spaghetti Carbonara,Main Course,9,12,108,Credit Card,Delivery
30/09/2023,12:55 AM,Gelato,Dessert,7,4.5,31.5,Mobile Payment,Delivery
14/01/2023,02:51 AM,Gelato,Dessert,8,4.5,36,Cash,Dine-In
26/01/2023,08:52 AM,Gelato,Dessert,9,4.5,40.5,Credit Card,Takeaway
16/06/2023,11:31 AM,Gelato,Dessert,10,4.5,45,Cash,Takeaway
11/02/2023,04:03 PM,Margherita Pizza,Main Course,10,10,100,Credit Card,Takeaway
24/04/2023,10:11 PM,Tiramisu,Dessert,9,6.5,58.5,Credit Card,Dine-In
12/04/2023,12:41 AM,Panna Cotta,Dessert,8,5.5,44,Credit Card,Dine-In
30/08/2023,10:51 PM,Tiramisu,Dessert,6,6.5,39,Credit Card,Takeaway
24/12/2023,08:44 AM,Fettuccine Alfredo,Main Course,1,13,13,Mobile Payment,Delivery
28/02/2023,05:35 AM,Lasagna,Main Course,9,11.5,103.5,Mobile Payment,Dine-In
08/06/2023,07:39 PM,Gelato,Dessert,2,4.5,9,Mobile Payment,Dine-In
08/02/2023,08:12 PM,Bruschetta,Appetizer,6,5,30,Mobile Payment,Takeaway
16/12/2023,08:29 PM,Tiramisu,Dessert,5,6.5,32.5,Credit Card,Takeaway
29/09/2023,02:37 PM,Fettuccine Alfredo,Main Course,3,13,39,Mobile Payment,Delivery
23/06/2023,12:25 AM,Gelato,Dessert,8,4.5,36,Credit Card,Takeaway
04/07/2023,09:41 PM,Minestrone Soup,Appetizer,3,7,21,Cash,Dine-In
24/09/2023,10:12 PM,Lasagna,Main Course,4,11.5,46,Mobile Payment,Takeaway
26/08/2023,02:52 PM,Panna Cotta,Dessert,6,5.5,33,Cash,Dine-In
14/02/2023,09:31 AM,Minestrone Soup,Appetizer,3,7,21,Cash,Delivery
08/11/2023,10:48 PM,Gelato,Dessert,8,4.5,36,Credit Card,Takeaway
15/06/2023,06:12 AM,Minestrone Soup,Appetizer,5,7,35,Cash,Takeaway
23/06/2023,09:32 AM,Panna Cotta,Dessert,6,5.5,33,Mobile Payment,Dine-In
21/09/2023,06:31 AM,Tiramisu,Dessert,4,6.5,26,Mobile Payment,Takeaway
07/09/2023,06:57 PM,Bruschetta,Appetizer,2,5,10,Mobile Payment,Delivery
08/09/2023,03:17 PM,Margherita Pizza,Main Course,7,10,70,Cash,Dine-In
26/07/2023,11:36 PM,Bruschetta,Appetizer,8,5,40,Mobile Payment,Delivery
07/07/2023,04:09 PM,Caprese Salad,Appetizer,9,8,72,Cash,Takeaway
08/10/2023,11:17 AM,Fettuccine Alfredo,Main Course,8,13,104,Cash,Takeaway
08/05/2023,07:52 AM,Tiramisu,Dessert,8,6.5,52,Cash,Dine-In
01/10/2023,11:33 PM,Spaghetti Carbonara,Main Course,9,12,108,Credit Card,Delivery
04/09/2023,09:26 AM,Panna Cotta,Dessert,2,5.5,11,Mobile Payment,Takeaway
21/02/2023,06:37 AM,Lasagna,Main Course,6,11.5,69,Cash,Dine-In
03/06/2023,12:28 AM,Caprese Salad,Appetizer,4,8,32,Cash,Dine-In
28/01/2023,06:53 PM,Lasagna,Main Course,3,11.5,34.5,Mobile Payment,Takeaway
22/02/2023,12:25 AM,Panna Cotta,Dessert,1,5.5,5.5,Cash,Takeaway
13/08/2023,11:37 AM,Spaghetti Carbonara,Main Course,9,12,108,Cash,Takeaway
28/02/2023,02:13 AM,Gelato,Dessert,3,4.5,13.5,Credit Card,Delivery
18/11/2023,11:25 PM,Margherita Pizza,Main Course,5,10,50,Credit Card,Delivery
04/06/2023,02:54 AM,Bruschetta,Appetizer,6,5,30,Mobile Payment,Takeaway
06/11/2023,08:20 PM,Panna Cotta,Dessert,9,5.5,49.5,Mobile Payment,Takeaway
18/08/2023,03:06 PM,Lasagna,Main Course,5,11.5,57.5,Cash,Takeaway
18/10/2023,09:11 PM,Margherita Pizza,Main Course,3,10,30,Mobile Payment,Dine-In
16/04/2023,09:21 PM,Bruschetta,Appetizer,8,5,40,Mobile Payment,Dine-In
21/03/2023,08:11 AM,Spaghetti Carbonara,Main Course,2,12,24,Credit Card,Dine-In
02/01/2023,01:56 PM,Minestrone Soup,Appetizer,9,7,63,Cash,Takeaway
17/01/2023,07:54 AM,Lasagna,Main Course,6,11.5,69,Mobile Payment,Takeaway
06/02/2023,11:27 PM,Bruschetta,Appetizer,9,5,45,Mobile Payment,Delivery
04/12/2023,06:45 AM,Gelato,Dessert,5,4.5,22.5,Mobile Payment,Dine-In
27/11/2023,05:05 AM,Lasagna,Main Course,8,11.5,92,Credit Card,Dine-In
25/03/2023,10:29 AM,Panna Cotta,Dessert,8,5.5,44,Cash,Takeaway
04/03/2023,03:59 PM,Lasagna,Main Course,3,11.5,34.5,Cash,Delivery
03/10/2023,04:51 PM,Minestrone Soup,Appetizer,1,7,7,Mobile Payment,Dine-In
09/08/2023,11:00 AM,Panna Cotta,Dessert,5,5.5,27.5,Credit Card,Dine-In
27/04/2023,11:00 PM,Panna Cotta,Dessert,10,5.5,55,Credit Card,Delivery
17/05/2023,07:40 PM,Margherita Pizza,Main Course,2,10,20,Cash,Delivery
29/11/2023,03:05 PM,Lasagna,Main Course,5,11.5,57.5,Mobile Payment,Takeaway
21/11/2023,04:47 PM,Tiramisu,Dessert,7,6.5,45.5,Cash,Takeaway
19/06/2023,10:57 AM,Tiramisu,Dessert,6,6.5,39,Cash,Takeaway
21/12/2023,04:54 PM,Lasagna,Main Course,10,11.5,115,Mobile Payment,Dine-In
20/08/2023,03:00 AM,Fettuccine Alfredo,Main Course,3,13,39,Cash,Dine-In
25/07/2023,05:33 PM,Margherita Pizza,Main Course,5,10,50,Cash,Takeaway
28/01/2023,06:24 AM,Caprese Salad,Appetizer,7,8,56,Mobile Payment,Takeaway
16/11/2023,03:05 PM,Margherita Pizza,Main Course,8,10,80,Cash,Delivery
08/03/2023,09:49 AM,Minestrone Soup,Appetizer,1,7,7,Credit Card,Dine-In
18/11/2023,08:46 PM,Bruschetta,Appetizer,5,5,25,Cash,Delivery
08/01/2023,06:51 PM,Gelato,Dessert,4,4.5,18,Credit Card,Dine-In
24/08/2023,04:00 AM,Spaghetti Carbonara,Main Course,1,12,12,Mobile Payment,Takeaway
17/09/2023,09:19 AM,Gelato,Dessert,2,4.5,9,Cash,Dine-In
21/08/2023,06:48 PM,Spaghetti Carbonara,Main Course,5,12,60,Credit Card,Delivery
17/09/2023,04:39 AM,Tiramisu,Dessert,9,6.5,58.5,Cash,Takeaway
16/09/2023,09:07 AM,Margherita Pizza,Main Course,6,10,60,Mobile Payment,Takeaway
27/10/2023,07:47 PM,Minestrone Soup,Appetizer,9,7,63,Cash,Delivery
04/09/2023,11:46 AM,Fettuccine Alfredo,Main Course,2,13,26,Mobile Payment,Takeaway
21/08/2023,10:59 AM,Bruschetta,Appetizer,10,5,50,Mobile Payment,Takeaway
29/04/2023,02:01 PM,Margherita Pizza,Main Course,9,10,90,Mobile Payment,Takeaway
27/12/2023,01:00 PM,Gelato,Dessert,8,4.5,36,Cash,Dine-In
05/03/2023,05:08 PM,Panna Cotta,Dessert,9,5.5,49.5,Credit Card,Takeaway
21/02/2023,05:57 PM,Minestrone Soup,Appetizer,6,7,42,Mobile Payment,Dine-In
28/07/2023,10:20 PM,Spaghetti Carbonara,Main Course,2,12,24,Cash,Takeaway
22/06/2023,09:16 PM,Gelato,Dessert,4,4.5,18,Cash,Delivery
30/09/2023,12:58 PM,Fettuccine Alfredo,Main Course,6,13,78,Mobile Payment,Dine-In
12/11/2023,02:20 AM,Bruschetta,Appetizer,10,5,50,Credit Card,Delivery
16/02/2023,02:48 PM,Tiramisu,Dessert,3,6.5,19.5,Cash,Dine-In
21/12/2023,10:13 AM,Margherita Pizza,Main Course,10,10,100,Cash,Dine-In
30/05/2023,12:14 PM,Fettuccine Alfredo,Main Course,3,13,39,Credit Card,Dine-In
28/09/2023,02:03 PM,Panna Cotta,Dessert,9,5.5,49.5,Credit Card,Dine-In
10/02/2023,08:48 PM,Gelato,Dessert,4,4.5,18,Mobile Payment,Dine-In
11/09/2023,07:54 PM,Spaghetti Carbonara,Main Course,8,12,96,Cash,Delivery
10/05/2023,03:41 PM,Lasagna,Main Course,3,11.5,34.5,Cash,Takeaway
12/12/2023,06:39 PM,Spaghetti Carbonara,Main Course,5,12,60,Cash,Takeaway
27/10/2023,10:12 AM,Gelato,Dessert,7,4.5,31.5,Cash,Takeaway
11/04/2023,01:07 PM,Minestrone Soup,Appetizer,8,7,56,Credit Card,Takeaway
19/10/2023,12:15 PM,Panna Cotta,Dessert,6,5.5,33,Mobile Payment,Takeaway
12/01/2023,10:28 PM,Gelato,Dessert,5,4.5,22.5,Credit Card,Delivery
17/12/2023,01:40 AM,Panna Cotta,Dessert,4,5.5,22,Cash,Dine-In
06/11/2023,12:01 PM,Bruschetta,Appetizer,7,5,35,Mobile Payment,Takeaway
13/12/2023,10:30 PM,Spaghetti Carbonara,Main Course,4,12,48,Mobile Payment,Delivery
21/01/2023,10:32 AM,Minestrone Soup,Appetizer,10,7,70,Mobile Payment,Takeaway
08/03/2023,03:04 AM,Lasagna,Main Course,3,11.5,34.5,Mobile Payment,Takeaway
30/03/2023,06:51 AM,Spaghetti Carbonara,Main Course,7,12,84,Cash,Delivery
13/09/2023,09:18 AM,Spaghetti Carbonara,Main Course,10,12,120,Cash,Takeaway
22/06/2023,03:55 AM,Minestrone Soup,Appetizer,2,7,14,Credit Card,Dine-In
12/12/2023,11:01 PM,Gelato,Dessert,4,4.5,18,Cash,Dine-In
21/07/2023,12:28 AM,Lasagna,Main Course,8,11.5,92,Credit Card,Takeaway
07/07/2023,10:57 PM,Lasagna,Main Course,3,11.5,34.5,Cash,Delivery
09/07/2023,03:41 AM,Bruschetta,Appetizer,9,5,45,Credit Card,Delivery
14/10/2023,11:11 AM,Panna Cotta,Dessert,1,5.5,5.5,Mobile Payment,Dine-In
21/11/2023,03:50 PM,Lasagna,Main Course,2,11.5,23,Credit Card,Dine-In
24/01/2023,01:16 AM,Lasagna,Main Course,10,11.5,115,Credit Card,Dine-In
30/04/2023,06:20 PM,Spaghetti Carbonara,Main Course,8,12,96,Cash,Takeaway
09/12/2023,11:46 PM,Caprese Salad,Appetizer,10,8,80,Mobile Payment,Delivery
20/03/2023,02:09 PM,Tiramisu,Dessert,6,6.5,39,Mobile Payment,Takeaway
23/05/2023,01:07 AM,Fettuccine Alfredo,Main Course,2,13,26,Cash,Takeaway
30/04/2023,12:22 PM,Tiramisu,Dessert,10,6.5,65,Mobile Payment,Delivery
02/07/2023,02:04 AM,Gelato,Dessert,5,4.5,22.5,Credit Card,Dine-In
20/08/2023,03:07 AM,Bruschetta,Appetizer,5,5,25,Credit Card,Dine-In
19/06/2023,08:18 AM,Spaghetti Carbonara,Main Course,3,12,36,Credit Card,Dine-In
10/10/2023,07:04 AM,Panna Cotta,Dessert,6,5.5,33,Credit Card,Takeaway
16/03/2023,08:20 PM,Margherita Pizza,Main Course,5,10,50,Credit Card,Dine-In
03/10/2023,08:33 AM,Spaghetti Carbonara,Main Course,4,12,48,Mobile Payment,Dine-In
08/03/2023,12:30 AM,Fettuccine Alfredo,Main Course,4,13,52,Mobile Payment,Takeaway
09/01/2023,05:56 AM,Lasagna,Main Course,2,11.5,23,Credit Card,Delivery
03/08/2023,05:57 PM,Tiramisu,Dessert,4,6.5,26,Cash,Takeaway
04/07/2023,05:31 PM,Panna Cotta,Dessert,2,5.5,11,Cash,Delivery
23/04/2023,08:59 PM,Margherita Pizza,Main Course,1,10,10,Cash,Takeaway
25/11/2023,01:03 AM,Margherita Pizza,Main Course,5,10,50,Cash,Takeaway
17/12/2023,03:41 AM,Minestrone Soup,Appetizer,4,7,28,Credit Card,Dine-In
13/06/2023,08:45 PM,Spaghetti Carbonara,Main Course,3,12,36,Credit Card,Takeaway
15/11/2023,09:36 PM,Panna Cotta,Dessert,5,5.5,27.5,Mobile Payment,Takeaway
14/07/2023,08:23 PM,Caprese Salad,Appetizer,5,8,40,Cash,Delivery
05/11/2023,02:41 PM,Tiramisu,Dessert,1,6.5,6.5,Mobile Payment,Delivery
09/10/2023,07:20 AM,Gelato,Dessert,8,4.5,36,Credit Card,Takeaway
22/06/2023,03:28 PM,Gelato,Dessert,10,4.5,45,Mobile Payment,Dine-In
09/06/2023,02:34 PM,Fettuccine Alfredo,Main Course,10,13,130,Cash,Dine-In
17/12/2023,04:11 PM,Tiramisu,Dessert,2,6.5,13,Credit Card,Dine-In
09/08/2023,03:17 AM,Fettuccine Alfredo,Main Course,3,13,39,Mobile Payment,Dine-In
27/10/2023,07:10 PM,Caprese Salad,Appetizer,3,8,24,Mobile Payment,Dine-In
29/07/2023,12:04 PM,Gelato,Dessert,3,4.5,13.5,Cash,Delivery
08/06/2023,12:00 PM,Tiramisu,Dessert,2,6.5,13,Mobile Payment,Dine-In
20/03/2023,10:24 PM,Minestrone Soup,Appetizer,8,7,56,Credit Card,Takeaway
11/10/2023,12:32 PM,Tiramisu,Dessert,6,6.5,39,Mobile Payment,Dine-In
07/08/2023,07:08 PM,Panna Cotta,Dessert,2,5.5,11,Mobile Payment,Delivery
12/10/2023,12:53 AM,Panna Cotta,Dessert,5,5.5,27.5,Credit Card,Dine-In
19/05/2023,11:59 PM,Lasagna,Main Course,1,11.5,11.5,Cash,Dine-In
02/04/2023,04:53 AM,Panna Cotta,Dessert,9,5.5,49.5,Credit Card,Dine-In
20/11/2023,01:02 AM,Tiramisu,Dessert,5,6.5,32.5,Credit Card,Takeaway
02/08/2023,03:29 PM,Fettuccine Alfredo,Main Course,8,13,104,Cash,Takeaway
15/06/2023,07:22 PM,Panna Cotta,Dessert,10,5.5,55,Credit Card,Dine-In
21/03/2023,09:05 PM,Margherita Pizza,Main Course,7,10,70,Cash,Takeaway
04/12/2023,02:28 PM,Minestrone Soup,Appetizer,5,7,35,Cash,Takeaway
19/05/2023,07:21 AM,Caprese Salad,Appetizer,3,8,24,Cash,Takeaway
26/02/2023,09:40 AM,Panna Cotta,Dessert,4,5.5,22,Mobile Payment,Delivery
06/06/2023,01:33 AM,Bruschetta,Appetizer,6,5,30,Mobile Payment,Dine-In
04/01/2023,06:58 AM,Lasagna,Main Course,3,11.5,34.5,Credit Card,Takeaway
28/05/2023,11:11 AM,Tiramisu,Dessert,6,6.5,39,Cash,Delivery
08/08/2023,05:59 AM,Spaghetti Carbonara,Main Course,6,12,72,Mobile Payment,Delivery
27/04/2023,05:04 PM,Caprese Salad,Appetizer,3,8,24,Credit Card,Takeaway
22/01/2023,02:53 PM,Margherita Pizza,Main Course,3,10,30,Credit Card,Takeaway
21/10/2023,02:39 PM,Panna Cotta,Dessert,9,5.5,49.5,Mobile Payment,Delivery
01/08/2023,09:52 AM,Tiramisu,Dessert,8,6.5,52,Credit Card,Takeaway
28/03/2023,09:05 PM,Minestrone Soup,Appetizer,10,7,70,Credit Card,Takeaway
24/02/2023,08:18 AM,Gelato,Dessert,6,4.5,27,Cash,Delivery
10/02/2023,01:30 PM,Lasagna,Main Course,3,11.5,34.5,Credit Card,Takeaway
27/03/2023,02:36 AM,Caprese Salad,Appetizer,2,8,16,Mobile Payment,Delivery
09/04/2023,11:55 AM,Fettuccine Alfredo,Main Course,2,13,26,Credit Card,Dine-In
15/03/2023,08:44 AM,Bruschetta,Appetizer,1,5,5,Mobile Payment,Dine-In
01/12/2023,02:34 AM,Spaghetti Carbonara,Main Course,2,12,24,Cash,Delivery
23/10/2023,03:19 PM,Panna Cotta,Dessert,1,5.5,5.5,Cash,Delivery
10/06/2023,05:09 AM,Minestrone Soup,Appetizer,7,7,49,Cash,Takeaway
19/11/2023,10:20 AM,Lasagna,Main Course,7,11.5,80.5,Credit Card,Takeaway
16/09/2023,02:31 AM,Lasagna,Main Course,7,11.5,80.5,Cash,Dine-In
30/01/2023,12:35 PM,Lasagna,Main Course,9,11.5,103.5,Mobile Payment,Dine-In
10/11/2023,08:16 PM,Caprese Salad,Appetizer,6,8,48,Cash,Delivery
10/10/2023,01:24 AM,Minestrone Soup,Appetizer,6,7,42,Mobile Payment,Dine-In
13/06/2023,08:39 PM,Minestrone Soup,Appetizer,2,7,14,Credit Card,Dine-In
18/08/2023,03:31 AM,Fettuccine Alfredo,Main Course,5,13,65,Mobile Payment,Delivery
29/03/2023,01:20 AM,Bruschetta,Appetizer,8,5,40,Cash,Delivery
24/09/2023,08:48 PM,Spaghetti Carbonara,Main Course,3,12,36,Cash,Takeaway
17/07/2023,01:57 PM,Fettuccine Alfredo,Main Course,2,13,26,Credit Card,Delivery
27/11/2023,11:25 AM,Tiramisu,Dessert,2,6.5,13,Credit Card,Delivery
13/12/2023,01:11 PM,Lasagna,Main Course,1,11.5,11.5,Mobile Payment,Delivery
04/11/2023,05:07 AM,Fettuccine Alfredo,Main Course,6,13,78,Mobile Payment,Delivery
13/03/2023,11:56 AM,Lasagna,Main Course,5,11.5,57.5,Credit Card,Delivery
28/12/2023,02:53 AM,Lasagna,Main Course,5,11.5,57.5,Cash,Delivery
17/06/2023,04:21 AM,Caprese Salad,Appetizer,7,8,56,Mobile Payment,Delivery
04/08/2023,05:21 PM,Fettuccine Alfredo,Main Course,7,13,91,Cash,Takeaway
02/04/2023,07:18 AM,Fettuccine Alfredo,Main Course,2,13,26,Credit Card,Dine-In
